Job_Title,Location,Locality,State,Work_Mode,Job_Category,Salary,Salary_Type,Monthly_Salary_INR
Data Entry Operator Fresher,"Udyog Bhawan, Delhi, Delhi",Udyog Bhawan,Delhi,On-site,IT and Technology,"16,000 - 20,000 a month",Monthly,18000.0
Medical Biller - DME USA,"Delhi, Delhi",Delhi,Delhi,On-site,Healthcare,"20,000 a month",Monthly,20000.0
Logistics Executive,"Kochi, Kerala",Kochi,Kerala,On-site,Logistics and Delivery,Not Disclosed,Not Disclosed,19250.0
Area Executive (Agri / Milk Procurement),"Bijawar, Madhya Pradesh",Bijawar,Madhya Pradesh,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Full Stack Development Intern,"Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,On-site,IT and Technology,"Up to 3,00,000 a year",Annual,19250.0
Data Entry Operator,"Balasore, Orissa",Balasore,Orissa,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Marketing Intern,"Ramanathapuram, Tamil Nadu",Ramanathapuram,Tamil Nadu,On-site,Sales and Marketing,"8,000 - 10,000 a month",Monthly,9000.0
Management Trainee- Investments & Life Insurance for Australian Shift (Vadodara Only),"Vadodara, Gujarat",Vadodara,Gujarat,On-site,IT and Technology,"17,000 - 30,000 a month",Monthly,23500.0
Data entry fresher apply now,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,IT and Technology,"9,121.02 - 36,967.77 a month",Monthly,23044.395
Personal assistant,"Delhi, Delhi",Delhi,Delhi,On-site,Other,"30,000 - 35,000 a month",Monthly,32500.0
Greenpeace NGO - Fundraiser,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"27,000 - 30,000 a month",Monthly,28500.0
Fresher_Mumbai_Bhartiyavidya peeth,"Mumbai, Maharashtra",Mumbai,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Programmer,"Ashok Vihar, Delhi, Delhi",Ashok Vihar,Delhi,On-site,Other,"22,000 - 25,000 a month",Monthly,23500.0
Freshers - Content writter,"Chinna Chokkikulam, Madurai, Tamil Nadu",Chinna Chokkikulam,Tamil Nadu,On-site,Other,"10,000 - 15,000 a month",Monthly,12500.0
Service Engineer( Freshers can apply),"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,IT and Technology,"12,000 - 25,000 a month",Monthly,18500.0
Business Development Associate,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Sales and Marketing,"18,000 - 28,000 a month",Monthly,23000.0
Junior Software Engineer,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"From 2,14,538.36 a year",Annual,19250.0
Wanted Freshers from Nagamalai Pudukottai and nearby areas,"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,IT and Technology,"8,000 - 10,000 a month",Monthly,9000.0
Duty Officer,"Kochi, Kerala",Kochi,Kerala,On-site,Other,"18,000 - 23,000 a month",Monthly,20500.0
Front Office Executive,"Sholinghur, Tamil Nadu",Sholinghur,Tamil Nadu,On-site,Other,"From 16,000 a month",Monthly,19250.0
Fresher Operations Analyst (Construction),"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"5,50,000 - 6,00,000 a year",Annual,575000.0
Flutter Developer Intern,Remote,Remote,Remote,Remote,IT and Technology,"13,192.39 - 62,082.66 a month",Monthly,37637.525
Australian Accounting - Fresher,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,On-site,Other,"15,000 - 50,000 a month",Monthly,32500.0
Accounts Assistant,"Kollam, Kerala",Kollam,Kerala,On-site,Other,"12,000 - 15,000 a month",Monthly,13500.0
Female Kannada Telecalling Associate,"Shimoga, Karnataka",Shimoga,Karnataka,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee Application Support Executive (WFH),"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,"10,000 - 15,000 a month",Monthly,12500.0
freshers Intern,"Amravati, Maharashtra",Amravati,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Pay Per Click / Google Adwords Expert / Performance Marketing,"Okhla, Delhi, Delhi",Okhla,Delhi,On-site,Sales and Marketing,Not Disclosed,Not Disclosed,19250.0
Marketing Assistant,Remote,Remote,Remote,Remote,Sales and Marketing,"15,000 - 20,000 a month",Monthly,17500.0
Ticketing Executive,"Kurukshetra, Haryana",Kurukshetra,Haryana,On-site,Other,"10,000 - 22,000 a month",Monthly,16000.0
Quality Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Saravanampatti,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Software Trainee,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"From 3,00,000 a year",Annual,19250.0
Scientific Analyst - Trainee,Remote,Remote,Remote,Remote,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Business Development Associate (BDA),"Peelamedu, Coimbatore, Tamil Nadu",Peelamedu,Tamil Nadu,On-site,Sales and Marketing,"12,000 - 25,000 a month",Monthly,18500.0
Trainee Software Engineer,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Student Counsellor,"Kochi, Kerala",Kochi,Kerala,On-site,Other,"15,000 - 30,000 a month",Monthly,22500.0
Quality Control - Trainee,"Verna, Goa",Verna,Goa,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Cast Member,"Tenkasi, Tamil Nadu",Tenkasi,Tamil Nadu,On-site,Other,"1,000 - 5,000 a day",Daily,3000.0
Accounts Assistant,"Borivali East, Mumbai, Maharashtra",Borivali East,Maharashtra,On-site,Other,"10,000 - 20,000 a month",Monthly,15000.0
Front Office,"Chamba, Himachal Pradesh",Chamba,Himachal Pradesh,On-site,Other,"20,000 - 25,000 a month",Monthly,22500.0
Germany Physiotherapist,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,Other,"2,00,000 a month",Monthly,200000.0
Vacancy for BA/BBA/BCA/BSc Fresher graduates,"Baddi, Himachal Pradesh",Baddi,Himachal Pradesh,On-site,Other,"1,00,000 - 1,50,000 a year",Annual,125000.0
Packaging- Technical Trainee,"Jammu, Jammu and Kashmir",Jammu,Jammu and Kashmir,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Data Entry Operator,Delhi,Delhi,Delhi,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Pick Packer,"Pappanaickenpalayam, Coimbatore, Tamil Nadu",Pappanaickenpalayam,Tamil Nadu,On-site,Other,"7,000 - 11,000 a month",Monthly,9000.0
Office Work Experience,"Samastipur, Bihar",Samastipur,Bihar,On-site,Other,"From 10,000 a month",Monthly,19250.0
Graduate Trainee,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Quality Control,"Borivali East, Mumbai, Maharashtra",Borivali East,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Front Office Executives and Interns,"Kottayam, Kerala",Kottayam,Kerala,On-site,Other,"From 22,000 a month",Monthly,19250.0
Cashier,"Perambalur, Tamil Nadu",Perambalur,Tamil Nadu,On-site,Other,"From 15,000 a month",Monthly,19250.0
Commis 3,"Vasai, Maharashtra",Vasai,Maharashtra,On-site,Other,"8,000 - 12,000 a month",Monthly,10000.0
Academic Advisor - Female,"Kochi, Kerala",Kochi,Kerala,On-site,Education and Training,"20,000 - 26,000 a month",Monthly,23000.0
Ai developer/intern,"Belgachia, Kolkata, West Bengal",Belgachia,West Bengal,On-site,IT and Technology,"30,000 - 60,000 a month",Monthly,45000.0
Accounts and HR Executive (Female Only),"Santacruz West, Mumbai, Maharashtra",Santacruz West,Maharashtra,On-site,HR and Recruitment,"Up to 12,000 a month",Monthly,19250.0
Analyst - Research,"Gurugram, Haryana",Gurugram,Haryana,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Diploma Trainee,"Chhati, Chhattisgarh",Chhati,Chhattisgarh,On-site,IT and Technology,"13,000 - 15,000 a month",Monthly,14000.0
Vacancy For Fresher Photography - Girnar Ropeway Gujarat,"Junagadh, Gujarat",Junagadh,Gujarat,On-site,Other,"12,000 - 14,000 a month",Monthly,13000.0
"CS Management Trainee (Financial Planning & Investment) Job Location:- Vadodara, Gujarat Only","Vadodara, Gujarat",Vadodara,Gujarat,On-site,IT and Technology,"10,000 - 27,000 a month",Monthly,18500.0
Life Insurance Advisor,"Cannanore, Kerala",Cannanore,Kerala,On-site,Other,"25,000 - 50,000 a month",Monthly,37500.0
Cashier,"Kollam, Kerala",Kollam,Kerala,On-site,Other,"12,000 - 15,000 a month",Monthly,13500.0
Research Analyst-(Entry level job for freshers),"Mohali, Punjab",Mohali,Punjab,On-site,Other,"7,000 - 10,000 a month",Monthly,8500.0
BE/MCA Fresher,"Indore, Madhya Pradesh",Indore,Madhya Pradesh,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Fresh Graduates,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Personal Assistant,"Jaipura, Rajasthan",Jaipura,Rajasthan,On-site,Other,"20,000 - 30,000 a month",Monthly,25000.0
Graphic Designer - Fresher,"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,Design and Creative,Not Disclosed,Not Disclosed,19250.0
Technical Graduate Apprentice - India UHR,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,HR and Recruitment,Not Disclosed,Not Disclosed,19250.0
Education Consultant,"Kasaragod, Kerala",Kasaragod,Kerala,On-site,Education and Training,"12,000 - 25,000 a month",Monthly,18500.0
Warehouse Incharge,"Payyannur, Kerala",Payyannur,Kerala,On-site,Other,"20,000 - 28,000 a month",Monthly,24000.0
Research Trainee,"Denkanikota, Tamil Nadu",Denkanikota,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Accessories Incharge,"Alleppey, Kerala",Alleppey,Kerala,On-site,Other,"14,000 - 18,000 a month",Monthly,16000.0
TRAINEE,Kerala,Kerala,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Brand Collaborator,"Hyderabad, Telangana",Hyderabad,Telangana,On-site,Other,"15,000 - 20,000 a month",Monthly,17500.0
Trainee Digital(Freshers - BSc/BCA/MCA),Remote,Remote,Remote,Remote,IT and Technology,"Up to 15,000 a month",Monthly,19250.0
General Basic Workers,"Pudukkottai, Tamil Nadu",Pudukkottai,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Medical Scribe,"Tenkasi, Tamil Nadu",Tenkasi,Tamil Nadu,On-site,Healthcare,"10,000 - 12,000 a month",Monthly,11000.0
Data Analyst Trainee,"Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
ATM Service Engineer,"Salem, Tamil Nadu",Salem,Tamil Nadu,On-site,IT and Technology,"18,000 - 24,000 a month",Monthly,21000.0
Organic Chemist - Trainee - 2024,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Factory Incharge,"Thane, Maharashtra",Thane,Maharashtra,On-site,Other,"40,000 - 65,000 a month",Monthly,52500.0
Machine Learning,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,IT and Technology,"18,000 - 30,000 a month",Monthly,24000.0
Graduate Trainee - Pickling,"Mahesana, Gujarat",Mahesana,Gujarat,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Off Campus Hiring for Fresher Batch 2023 - 24,"Mohali, Punjab",Mohali,Punjab,On-site,Other,"3,00,000 - 5,00,000 a year",Annual,400000.0
Associate Trainee,"Indore, Madhya Pradesh",Indore,Madhya Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Software Trainee Programmer,"Jubilee Hills, Hyderabad, Telangana",Jubilee Hills,Telangana,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Helper - Male Only,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,Other,"8,000 - 12,000 a month",Monthly,10000.0
Graphic Designer,"Palghat, Kerala",Palghat,Kerala,On-site,Design and Creative,"From 9,598.81 a month",Monthly,19250.0
Technical Executive,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"30,000 - 40,000 a month",Monthly,35000.0
Teaching & non Teaching,"Bikaner, Rajasthan",Bikaner,Rajasthan,On-site,Other,"From 20,000 a month",Monthly,19250.0
Data Entry Operator,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Database Administrators,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Trainee Associate,"Hyderabad, Telangana",Hyderabad,Telangana,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
DMO,"Nizamabad, Telangana",Nizamabad,Telangana,On-site,Other,"40,000 - 50,000 a month",Monthly,45000.0
Web Designers,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
CA Fresher / Final Group (Pursuing),"Gwalior, Madhya Pradesh",Gwalior,Madhya Pradesh,On-site,Design and Creative,Not Disclosed,Not Disclosed,19250.0
Personal Secretary,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,Other,"75,000 - 80,000 a month",Monthly,77500.0
Anchor,"Kochi, Kerala",Kochi,Kerala,On-site,Other,"15,000 - 25,000 a month",Monthly,20000.0
Human Resource Intern,"Purasawalkam, Chennai, Tamil Nadu",Purasawalkam,Tamil Nadu,On-site,HR and Recruitment,Not Disclosed,Not Disclosed,19250.0
Software Trainer,"Todupulai, Kerala",Todupulai,Kerala,On-site,IT and Technology,"From 12,000 a month",Monthly,19250.0
Modelling,"Delhi, Delhi",Delhi,Delhi,On-site,Other,"From 10,000 a day",Daily,19250.0
Block Coordinator,"Kidwaipuri, Patna, Bihar",Kidwaipuri,Bihar,On-site,Other,"12,000 - 25,000 a month",Monthly,18500.0
Assistant Professor / Associate Professor / Professor,Chandigarh,Chandigarh,Chandigarh,On-site,Education and Training,Not Disclosed,Not Disclosed,19250.0
Data Entry Operator/Computer Operator,"Raigarh, Chhattisgarh",Raigarh,Chhattisgarh,On-site,IT and Technology,"10,000 - 20,000 a month",Monthly,15000.0
Graduate Trainee,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"9,000 a month",Monthly,9000.0
Computer staff - (Female) for kollam,"Kollam, Kerala",Kollam,Kerala,On-site,Other,"8,000 - 10,000 a month",Monthly,9000.0
HR Trainee,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Assistant Professor,"Champa, Chhattisgarh",Champa,Chhattisgarh,On-site,Education and Training,"25,000 - 35,000 a month",Monthly,30000.0
Hubli - Fresh Graduates for English Ad Design,"Hubli, Karnataka",Hubli,Karnataka,On-site,Design and Creative,"11,150 - 25,000 a month",Monthly,18075.0
Sales Associate,"Dehradun, Uttarakhand",Dehradun,Uttarakhand,On-site,Sales and Marketing,"18,000 - 21,000 a month",Monthly,19500.0
Media Intern (Admin & Teaching),"Nashik, Maharashtra",Nashik,Maharashtra,On-site,Other,"5,000 - 6,000 a month",Monthly,5500.0
Sound Engineer,"Navi Mumbai, Maharashtra",Navi Mumbai,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Associate Trainee- Fresher,"Indore, Madhya Pradesh",Indore,Madhya Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Computer Operator,"Mandvi, Gujarat",Mandvi,Gujarat,On-site,Other,"12,000 - 15,000 a month",Monthly,13500.0
Quality Assurance,"Borivali East, Mumbai, Maharashtra",Borivali East,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Data entry operater,"Vadapalani, Chennai, Tamil Nadu",Vadapalani,Tamil Nadu,On-site,IT and Technology,"15,000 - 25,000 a month",Monthly,20000.0
Brand Collaborator,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"15,000 - 20,000 a month",Monthly,17500.0
Fresher Opportunity for the post of Mechanical Trainee Engineer,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Admin,"Mysuru, Karnataka",Mysuru,Karnataka,On-site,Other,"Up to 20,000 a month",Monthly,19250.0
Fresher Full stack developer,"Kottayam, Kerala",Kottayam,Kerala,On-site,IT and Technology,"9,000 - 13,000 a month",Monthly,11000.0
TRAINEE,"Tanuku, Andhra Pradesh",Tanuku,Andhra Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
fresher electronics engineer,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Assistant Supervisor,"Rajender Nagar, Delhi, Delhi",Rajender Nagar,Delhi,On-site,Management,"16,000 - 21,000 a month",Monthly,18500.0
Assistant Store Keeper,"Aluva, Kerala",Aluva,Kerala,On-site,Other,"12,000 - 17,500 a month",Monthly,14750.0
Field Information Officer,"Bhubaneswar, Orissa",Bhubaneswar,Orissa,On-site,Other,"20,000 - 25,000 a month",Monthly,22500.0
FEMALE OFFICE STAFF,"Kollam, Kerala",Kollam,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Intern / Trainee,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
IPQA Officer,"Kala Amb, Himachal Pradesh",Kala Amb,Himachal Pradesh,On-site,Other,"From 20,000 a month",Monthly,19250.0
Business Analyst (Fresher),"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee Admission Officer,"Mysuru, Karnataka",Mysuru,Karnataka,On-site,IT and Technology,"3,00,000 - 6,00,000 a year",Annual,450000.0
GET (Graduate Engineer Trainee),"Erode, Tamil Nadu",Erode,Tamil Nadu,On-site,IT and Technology,"15,000 - 20,000 a month",Monthly,17500.0
Trainee programmers,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Trainee Environmental Specialist,"Hyderabad, Telangana",Hyderabad,Telangana,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Receptionist (Urgent),"Darjiling, West Bengal",Darjiling,West Bengal,On-site,Other,Not Disclosed,Not Disclosed,19250.0
QA Game Tester,"Pune District, Maharashtra",Pune District,Maharashtra,On-site,Other,"18,000 a month",Monthly,18000.0
For fresher(IT Sales),"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,IT and Technology,"Up to 1,20,000.53 a year",Annual,19250.0
Junior Associate,"Mysuru, Karnataka",Mysuru,Karnataka,On-site,Other,"17,000 - 19,000 a month",Monthly,18000.0
CAD Designer,"Ambattur, Chennai, Tamil Nadu",Ambattur,Tamil Nadu,On-site,Design and Creative,"From 16,500 a month",Monthly,19250.0
Behavioural Trainer- Fresher,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"18,000 - 20,000 a month",Monthly,19000.0
Quality Analyst Intern,"Satellite, Ahmedabad, Gujarat",Satellite,Gujarat,On-site,Other,"5,000 - 7,000 a month",Monthly,6000.0
Jr. Accounts Executive,"Kochi, Kerala",Kochi,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
AR Caller Trainee,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,IT and Technology,"Up to 50,000 a month",Monthly,19250.0
Pizzahut Team member,"Devanhalli, Karnataka",Devanhalli,Karnataka,On-site,Other,"15,500 - 20,800 a month",Monthly,18150.0
Document Scanning,"Moshi, Pune, Maharashtra",Moshi,Maharashtra,On-site,Other,"From 12,000 a month",Monthly,19250.0
"Proofreading, Quality Control & Copy Editing - Freshers Also Welcome","Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,Other,"1,05,842.90 - 3,63,348.95 a year",Annual,234595.925
QA Trainee,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Pharma Freshers,"Mumbai Central, Mumbai, Maharashtra",Mumbai Central,Maharashtra,On-site,Other,"2,50,000 - 3,50,000 a month",Monthly,300000.0
Human Resource,"Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,On-site,HR and Recruitment,"3,00,000 - 8,00,000 a year",Annual,550000.0
Project Billing Specialist,"Shivaji Nagar, Pune, Maharashtra",Shivaji Nagar,Maharashtra,On-site,Finance and Accounts,"18,000 - 25,000 a month",Monthly,21500.0
Data Entry Intern,Remote,Remote,Remote,Remote,IT and Technology,"2,000 - 4,000 a month",Monthly,3000.0
Management Trainee(Financial Planning & Investments) (Job location:- Vadodara Only),"Vadodara, Gujarat",Vadodara,Gujarat,On-site,IT and Technology,"18,000 - 45,000 a month",Monthly,31500.0
Accounting Trainee,India,India,India,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Programmer,"Kochi, Kerala",Kochi,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Python Developer,Remote,Remote,Remote,Remote,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Documentation(Freshers),"Kottayam, Kerala",Kottayam,Kerala,On-site,Other,"Up to 18,000 a month",Monthly,19250.0
Bouncer,"Mumbai, Maharashtra",Mumbai,Maharashtra,On-site,Other,"25,000 - 35,000 a month",Monthly,30000.0
International Business Development Executive,"Salem, Tamil Nadu",Salem,Tamil Nadu,On-site,Sales and Marketing,Not Disclosed,Not Disclosed,19250.0
MEDICAL REPRESENTATIVE VACANCY,"Bolpur, West Bengal",Bolpur,West Bengal,On-site,Healthcare,"15,000 - 20,000 a month",Monthly,17500.0
Programme Coordinator,"Kodungallur, Kerala",Kodungallur,Kerala,On-site,Other,"From 3,00,000 a year",Annual,19250.0
Delivery Boy,"Kottayam, Kerala",Kottayam,Kerala,On-site,Logistics and Delivery,"15,000 - 25,000 a month",Monthly,20000.0
Graduate Engineer Trainee (GET),"Tiruchchirappalli, Tamil Nadu",Tiruchchirappalli,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
3D Modeling Artist,"Kazhakoottam, Thiruvananthapuram, Kerala",Kazhakoottam,Kerala,On-site,Other,"20,000 a month",Monthly,20000.0
Virtual Scribe Trainee,"Hubli, Karnataka",Hubli,Karnataka,On-site,IT and Technology,"30,000 - 35,000 a month",Monthly,32500.0
INTERNSHIP -HR (NON-PAID),"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Executive - AO&CS,"Kochi, Kerala",Kochi,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Delivery Partner/Delivery Executive,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Logistics and Delivery,"20,000 - 60,000 a month",Monthly,40000.0
Data Analyst,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"From 4,00,000 a year",Annual,19250.0
Graduate Trainee,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,"15,000 - 20,000 a month",Monthly,17500.0
Business Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Saravanampatti,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Data Entry Operator,"Nagercoil, Tamil Nadu",Nagercoil,Tamil Nadu,On-site,IT and Technology,"From 2,00,000 a year",Annual,19250.0
Client Care Trainee,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Database Administrator,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"19,457.51 - 71,405.55 a month",Monthly,45431.53
Roto Artist,"Pune, Maharashtra",Pune,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee / Executive Medical Coding,"Salem, Tamil Nadu",Salem,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
HR recruitment officer,"Tiruppur, Tamil Nadu",Tiruppur,Tamil Nadu,On-site,HR and Recruitment,"20,000 - 25,000 a month",Monthly,22500.0
Assisstant Resource Manager_Construction Projects,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Management,"Up to 18,000 a month",Monthly,19250.0
Data Entry Operator (DEO),"INDERLOK, Delhi, Delhi",INDERLOK,Delhi,On-site,IT and Technology,"10,720.27 - 21,705.17 a month",Monthly,16212.72
Software Engineer Trainee,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"3,60,000 - 4,00,000 a year",Annual,380000.0
Hiring Graduates,"Tiruchchirappalli, Tamil Nadu",Tiruchchirappalli,Tamil Nadu,On-site,Other,"11,000 - 11,200 a month",Monthly,11100.0
HR Trainee,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,"2,00,000 - 3,50,000 a month",Monthly,275000.0
Social Media Influencer,Remote,Remote,Remote,Remote,Other,"9,334.49 - 14,000.00 a month",Monthly,11667.245
Social media intern,Remote,Remote,Remote,Remote,Other,Not Disclosed,Not Disclosed,19250.0
Counsellor,Remote,Remote,Remote,Remote,Other,Not Disclosed,Not Disclosed,19250.0
HR TRAINEE,"Calicut, Kerala",Calicut,Kerala,On-site,IT and Technology,"15,000 - 18,000 a month",Monthly,16500.0
JOB DRIVE @ Trivandrum,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,Other,"15,000 - 35,000 a month",Monthly,25000.0
Store Officer,"Todupulai, Kerala",Todupulai,Kerala,On-site,Other,"10,000 - 20,000 a month",Monthly,15000.0
Trainee Engineer Civil,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Regulatory,"Borivali East, Mumbai, Maharashtra",Borivali East,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee Research Assistant,India,India,India,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Software Trainee,"Valasaravakkam, Chennai, Tamil Nadu",Valasaravakkam,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
General Manager,"Erode, Tamil Nadu",Erode,Tamil Nadu,On-site,Management,"15,000 - 25,000 a month",Monthly,20000.0
Billing Clerk,"Ganapathi, Coimbatore, Tamil Nadu",Ganapathi,Tamil Nadu,On-site,Finance and Accounts,"8,000 - 12,000 a month",Monthly,10000.0
Brand Promoter,"Edapalli, Kerala",Edapalli,Kerala,On-site,Other,"5,000 - 20,000 a month",Monthly,12500.0
Vacancy for Fresher Graduate 8O13927285,"Maldah, West Bengal",Maldah,West Bengal,On-site,Other,"15,000 - 20,000 a month",Monthly,17500.0
Diploma Trainee,"Hubli, Karnataka",Hubli,Karnataka,On-site,IT and Technology,"16,000 - 20,000 a month",Monthly,18000.0
Data Entry (Work From Office - Female- Fresher),"Chennai, Tamil Nadu",Chennai,Tamil Nadu,On-site,IT and Technology,"10,000 - 15,000 a month",Monthly,12500.0
Customer Success Associate,Remote,Remote,Remote,Remote,Customer Service,"15,000 a month",Monthly,15000.0
Video Analyst Trainee - Fresher,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Officer - AO&CS,"Kochi, Kerala",Kochi,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
