Job_Title,Location,Locality,State,Work_Mode,Job_Category,Salary,Salary_Type,Monthly_Salary_INR
Manager,"Idukki, Kerala",Idukki,Kerala,On-site,Management,Not Disclosed,Not Disclosed,19250.0
Freshers - Trainee,"Hyderabad, Telangana",Hyderabad,Telangana,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Hiring Freshers for Bangalore Location ( Budget upto 45k inhand),"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"30,000 - 50,000 a month",Monthly,40000.0
Phone Banking Officer,"Jaipur, Rajasthan",Jaipur,Rajasthan,On-site,Other,"2,00,000 - 3,50,000 a year",Annual,275000.0
"Trainee Engineer, Fresher","Indore, Madhya Pradesh",Indore,Madhya Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Content Creator,Remote,Remote,Remote,Remote,Other,"30,000 - 60,000 a month",Monthly,45000.0
Social Media Manager,Remote,Remote,Remote,Remote,Management,"11,347.87 - 43,137.86 a month",Monthly,27242.865
Amazon Advertising Executive,"Thrissur, Kerala",Thrissur,Kerala,On-site,Other,"14,000 - 17,500 a month",Monthly,15750.0
Software Engineer,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Administration/Office Manager,"Thrissur, Kerala",Thrissur,Kerala,On-site,Management,"15,000 - 25,000 a month",Monthly,20000.0
Draftsman,India,India,India,On-site,Other,8 - 10 an hour,Hourly,19250.0
Documents verification,"Vadapalani, Chennai, Tamil Nadu",Vadapalani,Tamil Nadu,On-site,Other,"15,000 - 30,000 a month",Monthly,22500.0
Software Developer Fresher,India,India,India,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
E-Commerce works agency with Amazon PPC Ad management,Remote,Remote,Remote,Remote,Management,"12,000.00 - 33,807.10 a month",Monthly,22903.55
Delivery Partner/Delivery Executive,"Manipala, Karnataka",Manipala,Karnataka,On-site,Logistics and Delivery,"20,000 - 45,000 a month",Monthly,32500.0
Store & Purchase Executive,"Durgapur, West Bengal",Durgapur,West Bengal,On-site,Other,"20,000 - 40,000 a month",Monthly,30000.0
Account Executive,"Muvattupuzha, Kerala",Muvattupuzha,Kerala,On-site,Other,"12,000 - 60,000 a month",Monthly,36000.0
Software Trainee,"Pollachi H.O, Tamil Nadu",Pollachi H.O,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Need female graduates to train school student in Bandel,"Hugli, West Bengal",Hugli,West Bengal,On-site,IT and Technology,"15,000 - 18,000 a month",Monthly,16500.0
Billing Executive,"Idukki, Kerala",Idukki,Kerala,On-site,Finance and Accounts,"15,000 - 21,000 a month",Monthly,18000.0
Hotel Management Trainee,"Kottayam, Kerala",Kottayam,Kerala,On-site,IT and Technology,"20,000 - 30,000 a month",Monthly,25000.0
FACULTY WANTED - COMMERCE,"Pollachi, Tamil Nadu",Pollachi,Tamil Nadu,On-site,Education and Training,"18,000 - 45,000 a month",Monthly,31500.0
Project Manager,Remote,Remote,Remote,Remote,Management,"From 25,000 a month",Monthly,19250.0
Editor,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"Up to 4,00,000 a year",Annual,19250.0
Front Office,"Kochi, Kerala",Kochi,Kerala,On-site,Other,"20,000 - 25,000 a month",Monthly,22500.0
RTO Executive,"Erode, Tamil Nadu",Erode,Tamil Nadu,On-site,Other,"16,000 - 20,000 a month",Monthly,18000.0
HR Co-ordinator,"Thrissur, Kerala",Thrissur,Kerala,On-site,HR and Recruitment,"12,000 - 15,000 a month",Monthly,13500.0
Content Writers - Part Time,"Hubli, Karnataka",Hubli,Karnataka,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Video Editor,Remote,Remote,Remote,Remote,Other,"5,000 - 7,000 a month",Monthly,6000.0
Delivery Partner/Delivery Executive,"Kochi, Kerala",Kochi,Kerala,On-site,Logistics and Delivery,"15,000 - 45,000 a month",Monthly,30000.0
Fresher Software engineer at Technopark,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,"9,000 - 12,000 a month",Monthly,10500.0
AWS intern,Remote,Remote,Remote,Remote,Other,Not Disclosed,Not Disclosed,19250.0
Video Editing Intern,Remote,Remote,Remote,Remote,Other,"4,000 - 5,000 a month",Monthly,4500.0
Google Ads Executive(fresher/experience),"Ambli, Ahmedabad, Gujarat",Ambli,Gujarat,On-site,Other,"Up to 35,000 a month",Monthly,19250.0
JET - Fresher Diploma Engineer(Mechanical/Fabrication/Production),"Surat, Gujarat",Surat,Gujarat,On-site,IT and Technology,"2,00,000 - 3,00,000 a year",Annual,250000.0
Executive Diploma Trainee,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
tellecaller,"Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,On-site,Other,"18,569 - 27,467 a month",Monthly,23018.0
Supervisors/Incharges,"Pudukkottai, Tamil Nadu",Pudukkottai,Tamil Nadu,On-site,Management,Not Disclosed,Not Disclosed,19250.0
Junior Business Analyst,"Udumalaippettai, Tamil Nadu",Udumalaippettai,Tamil Nadu,On-site,Other,"Up to 10,000 a month",Monthly,19250.0
Computer Faculty,Remote,Remote,Remote,Remote,Education and Training,"From 10,000 a month",Monthly,19250.0
Process Associate,"Bhubaneswar, Orissa",Bhubaneswar,Orissa,On-site,Other,"1,00,000 - 2,20,000 a year",Annual,160000.0
Fresher IT Software Training in Infopark,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,"9,000 - 15,000 a month",Monthly,12000.0
Hotel Management Trainee,"Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,On-site,IT and Technology,"24,000 - 32,000 a month",Monthly,28000.0
Kyc Verification Executive Fresher,"Naraina, Delhi, Delhi",Naraina,Delhi,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Video Editor,Remote,Remote,Remote,Remote,Other,"10,000 - 15,000 a month",Monthly,12500.0
Business Development Associate,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Sales and Marketing,"4,50,000 - 5,00,000 a year",Annual,475000.0
Hindi Content Writer Intern.,Remote,Remote,Remote,Remote,Other,"10,000 a month",Monthly,10000.0
